loss,iteration
1.719830746650696,199
1.5185855501890182,598
1.475244726985693,1197
1.429007766097784,1996
1.446402704194188,2995
1.3847337366640569,4194
1.4124312603473663,5593
1.4153520256280898,7192
1.4900115752965213,8991
1.2919104731082915,10990
1.4012295345962047,13189
1.4167525296658277,15588
1.408804900497198,15787
1.353457980826497,16186
1.3556434372067452,16785
1.3426633674651385,17584
1.3895397904515265,18583
1.391361321285367,19782
1.2723189151659609,21181
1.419691152572632,22780
1.2944332188367844,24579
1.323004629611969,26578
1.3727318262308836,28777
1.319117607548833,31176
1.434194903075695,31375
1.2596135434508324,31774
1.4005958394706248,32373
1.1994462364912033,33172
1.3254595663398505,34171
1.4822535225749016,35370
1.4345853488147258,36769
1.334450681358576,38368
1.3532873192429542,40167
1.3488957595825195,42166
1.4041433346271515,44365
1.3731648752093315,46764
1.32004279717803,46963
1.364278070628643,47362
1.375364784002304,47961
1.3944558788090944,48760
1.3107309867441654,49759
1.293053316026926,50958
1.3286398432403803,52357
1.2013915379717945,53956
1.3649541482329368,55755
1.3379359589517117,57754
1.42121245354414,59953
1.3541806966811418,62352
1.2966245735064148,62551
1.3741238003969192,62950
1.335857080295682,63549
1.3285167814046144,64348
1.383589492291212,65347
1.231505338549614,66546
1.366525774076581,67945
1.3758758118748664,69544
1.3245972065627576,71343
1.342172470241785,73342
1.3832164223492145,75541
1.366133972108364,77940
1.254998803511262,78139
1.2987335848808288,78538
1.3057525835186243,79137
1.3070393238216638,79936
1.3442039626836777,80935
1.2646778762340545,82134
1.3470220572501421,83533
1.3362428095936776,85132
1.384540378153324,86931
1.2548604065924882,88930
1.2972725265845657,91129
1.333708785995841,93528
1.3424872659519316,93727
1.4906464510411024,94126
1.323964106440544,94725
1.3650254774093629,95524
1.349878235310316,96523
1.2178402207046748,97722
1.283982164822519,99121
1.344522651284933,100720
1.2754016530886292,102519
1.28629595130682,104518
1.3806559728831054,106717
1.3463748127222062,109116
1.3140806057304144,109315
1.3147943471372128,109714
1.3222547194361687,110313
1.3442533019185066,111112
1.3621101958304644,112111
1.3536444002203643,113310
1.4308650876581668,114709
1.3270574160665274,116308
1.3756073788180947,118107
1.2282272351533174,120106
1.3021421346068383,122305
1.3068171992152928,124704
1.331355701610446,124903
1.3859237024188042,125302
1.3223404587805272,125901
1.3723220336809754,126700
1.3075594843178988,127699
1.3185763984173535,128898
1.4094365656748413,130297
1.3662076357752084,131896
1.2839478798210622,133695
1.3724389964342116,135694
1.3423766923695803,137893
1.3070954564213753,140292
1.2315308037400245,140491
1.4032935198768974,140890
1.312038757801056,141489
1.258488385602832,142288
1.3867153887450696,143287
1.2726567102223634,144486
1.3358985425531864,145885
1.2327499912679196,147484
1.3392030090838671,149283
1.3214841923117637,151282
1.254965122565627,153481
1.4557819549739361,155880
