loss,iteration
1.6611105018854142,199
1.6045150876045227,598
1.5858504194021226,1197
1.5777598613500594,1996
1.5571377927064896,2995
1.5687527585029601,4194
1.5706967556476592,5593
1.5511726784706115,7192
1.5487820047140122,8991
1.573350585103035,10990
1.5690522357821464,13189
1.5450614124536515,15588
1.4432932430505752,15787
1.5107427218556404,16186
1.416450496017933,16785
1.3953409916162491,17584
1.3826651442050935,18583
1.330878967344761,19782
1.3432610982656479,21181
1.3397463074326514,22780
1.2346622623503207,24579
1.159969201013446,26578
1.2014057078957558,28777
1.194608761817217,31176
0.6507451833039523,31375
0.6321265945304185,31774
0.5720071224693675,32373
0.5628289865981787,33172
0.5974594496830832,34171
0.6076473072031513,35370
0.5437864248920232,36769
0.5321681909728795,38368
0.5126191030582413,40167
0.5125079561118037,42166
0.5240449037170037,44365
0.49079965002834797,46764
0.15203006765194005,46963
0.13838764215266564,47362
0.10629383772029541,47961
0.14710529537116598,48760
0.1022802647966273,49759
0.1750291958440721,50958
0.13379885398840996,52357
0.1269616338074411,53956
0.14899930013319873,55755
0.14528960891873793,57754
0.13848539738422916,59953
0.18966406066843775,62352
0.05574196435718477,62551
0.027837558940199188,62950
0.04819182196605652,63549
0.03171696056613087,64348
0.022360008870109596,65347
0.035591384704983395,66546
0.09386464492414276,67945
0.06882160131350928,69544
0.06888816276119769,71343
0.06722227184800303,73342
0.05780794108109433,75541
0.03563590413857753,77940
